Country,HeadOfState,Status,HeadGoverment,StatusGoverment,Continent
Afghanistan,13400,President,NA,NA,Asia
Albania,19665,President,20400,Prime Minister,Europe
Algeria,168000,President,61100,Prime Minister,Africa
Andorra,NA,NA,82800,Prime Minister,Europe
Angola,74480,President,61330,Vice President,Africa
Antigua & Barbuda,40225, Governor-General[a],55504, Prime Minister,Americas
Argentina,65320,President,NA,NA,Americas
Armenia,32400,President,29570,Prime Minister,Asia
Australia,346777,Governor-General[a],384767,Prime Minister,Oceania
Austria,410000,President,328600,Chancellor,Europe
Azerbaijan,225000,President,17000,Prime Minister,Asia
Bahamas,37000,Governor-General[a],86000,Prime Minister,Americas
Bahrain,22400000,King privy purse,239400,Prime Minister,Asia
Bangladesh,17100,President,16400,Prime Minister,Asia
Barbados,110499,Governor General[a],101588,Prime Minister,Americas
Belarus,33600,President,NA,NA,Europe
Belgium,14454440,King royal grant,262964,Prime Minister,Europe
Belize,26241,Governor-General[a],45500,Prime Minister,Americas
Benin,29810,President,NA,NA,Africa
Bhutan,NA,NA,37365,Prime Minister,Asia
Bolivia,39924,President,NA,NA,Americas
Bosnia & Herzegovina,42650,Presidency,NA,NA,Europe
Botswana,65760,President,NA,NA,Africa
Brazil,102524,President 2019,NA,NA,Americas
Brunei Darussalam,1986768000,Sultan,NA,NA,Asia
Bulgaria,79000,President,50000,Prime Minister,Europe
Burkina Faso,33810,President,17477,Prime Minister,Africa
Burundi,47300,President,NA,NA,Africa
Cambodia,NA,NA,30000,Prime Minister,Asia
Cameroon,620976,President,NA,NA,Africa
Canada,290000,Governor-General[a],260200,Prime Minister,Americas
Cabo Verde,20380,President,NA,NA,Africa
Central African Republic,42524,President,NA,NA,Africa
Chad,16640,President,NA,NA,Africa
Chile,196000,President,NA,NA,Americas
China,22000,Party General Secretary and President,13269,Premier,Asia
Colombia,134676,President,NA,NA,Americas
Comoros,117060,President,NA,NA,Africa
Congo (Democratic Republic of the),51500,President,NA,NA,Africa
Congo,108400,President,NA,NA,Africa
Costa Rica,113520,President,NA,NA,Americas
Croatia,44375,President,39422,Prime Minister,Europe
Cuba,360,President,NA,NA,Americas
